"id","siafi_code"
l10n_br_base.city_1600238,0611
l10n_br_base.city_1600253,0669
l10n_br_base.city_1600279,0613
l10n_br_base.city_1600303,0605
l10n_br_base.city_1600402,0607
l10n_br_base.city_1600501,0609
l10n_br_base.city_1600154,0663
l10n_br_base.city_1600535,0671
l10n_br_base.city_1600550,0673
l10n_br_base.city_1600600,0615
l10n_br_base.city_1600055,0665
l10n_br_base.city_1600709,0617
l10n_br_base.city_1600808,0070
l10n_br_base.city_2900108,3301
l10n_br_base.city_2900207,3303
l10n_br_base.city_2900306,3305
l10n_br_base.city_2900355,3253
l10n_br_base.city_2900405,3307
l10n_br_base.city_2900603,3311
l10n_br_base.city_2900702,3313
l10n_br_base.city_2900801,3315
l10n_br_base.city_2900900,3317
l10n_br_base.city_2901007,3319
l10n_br_base.city_2901106,3321
l10n_br_base.city_2901155,3071
l10n_br_base.city_2901205,3323
l10n_br_base.city_2901304,3325
l10n_br_base.city_2901353,3255
l10n_br_base.city_2901403,3327
l10n_br_base.city_2901502,3329
l10n_br_base.city_2901601,3331
l10n_br_base.city_2901700,3333
l10n_br_base.city_2901809,3335
l10n_br_base.city_2901908,3337
l10n_br_base.city_2901957,3257
l10n_br_base.city_2902054,3259
l10n_br_base.city_2902005,3339
l10n_br_base.city_2902104,3341
l10n_br_base.city_2902203,3343
l10n_br_base.city_2902252,3073
l10n_br_base.city_2902302,3345
l10n_br_base.city_2902401,3347
l10n_br_base.city_2902500,3349
l10n_br_base.city_2902609,3351
l10n_br_base.city_2902658,3261
l10n_br_base.city_2902708,3353
l10n_br_base.city_2902807,3355
l10n_br_base.city_2902906,3357
l10n_br_base.city_2903003,3359
l10n_br_base.city_2903102,3361
l10n_br_base.city_2903201,3363
l10n_br_base.city_2903235,3075
l10n_br_base.city_2903276,1110
l10n_br_base.city_2903409,3367
l10n_br_base.city_2903508,3369
l10n_br_base.city_2903607,3371
l10n_br_base.city_2903706,3373
l10n_br_base.city_2903805,3375
l10n_br_base.city_2903904,3377
l10n_br_base.city_2903953,3263
l10n_br_base.city_2904001,3379
l10n_br_base.city_2904050,3265
l10n_br_base.city_2904100,3381
l10n_br_base.city_2904209,3383
l10n_br_base.city_2904308,3385
l10n_br_base.city_2904407,3387
l10n_br_base.city_2904506,3389
l10n_br_base.city_2904605,3391
l10n_br_base.city_2904704,3393
l10n_br_base.city_2904753,3079
l10n_br_base.city_2904803,3395
l10n_br_base.city_2904852,3267
l10n_br_base.city_2904902,3397
l10n_br_base.city_2905008,3399
l10n_br_base.city_2905107,3401
l10n_br_base.city_2905156,3269
l10n_br_base.city_2905206,3403
l10n_br_base.city_2905305,3405
l10n_br_base.city_2905404,3407
l10n_br_base.city_2905503,3409
l10n_br_base.city_2905602,3411
l10n_br_base.city_2905701,3413
l10n_br_base.city_2905800,3415
l10n_br_base.city_2905909,3417
l10n_br_base.city_2906006,3419
l10n_br_base.city_2906105,3421
l10n_br_base.city_2906204,3423
l10n_br_base.city_2906303,3425
l10n_br_base.city_2906402,3427
l10n_br_base.city_2906501,3429
l10n_br_base.city_2906600,3431
l10n_br_base.city_2906709,3433
l10n_br_base.city_2906808,3435
l10n_br_base.city_2906824,3085
l10n_br_base.city_2906857,3081
l10n_br_base.city_2906873,3083
l10n_br_base.city_2906899,3271
l10n_br_base.city_2906907,3437
l10n_br_base.city_2907004,3439
l10n_br_base.city_2907103,3441
l10n_br_base.city_2907202,3443
l10n_br_base.city_2907301,3445
l10n_br_base.city_2907400,3447
l10n_br_base.city_2907509,3449
l10n_br_base.city_2907558,3273
l10n_br_base.city_2907608,3451
l10n_br_base.city_2907707,3453
l10n_br_base.city_2907806,3455
l10n_br_base.city_2907905,3457
l10n_br_base.city_2908002,3459
l10n_br_base.city_2908101,3461
l10n_br_base.city_2908200,3463
l10n_br_base.city_2908309,3465
l10n_br_base.city_2908408,3467
l10n_br_base.city_2908507,3469
l10n_br_base.city_2908606,3471
l10n_br_base.city_2908705,3473
l10n_br_base.city_2908804,3475
l10n_br_base.city_2908903,3477
l10n_br_base.city_2909000,3479
l10n_br_base.city_2909109,3481
l10n_br_base.city_2909208,3483
l10n_br_base.city_2909307,3485
l10n_br_base.city_2909406,3487
l10n_br_base.city_2909505,3489
l10n_br_base.city_2909604,3491
l10n_br_base.city_2909703,3493
l10n_br_base.city_2909802,3495
l10n_br_base.city_2909901,3497
l10n_br_base.city_2910008,3499
l10n_br_base.city_2910057,3087
l10n_br_base.city_2910107,3501
l10n_br_base.city_2910206,3503
l10n_br_base.city_2910305,3505
l10n_br_base.city_2910404,3507
l10n_br_base.city_2910503,3509
l10n_br_base.city_2900504,3309
l10n_br_base.city_2910602,3511
l10n_br_base.city_2910701,3513
l10n_br_base.city_2910727,3117
l10n_br_base.city_2910750,3089
l10n_br_base.city_2910776,3275
l10n_br_base.city_2910800,3515
l10n_br_base.city_2910859,3091
l10n_br_base.city_2910909,3517
l10n_br_base.city_2911006,3519
l10n_br_base.city_2911105,3521
l10n_br_base.city_2911204,3523
l10n_br_base.city_2911253,3093
l10n_br_base.city_2911303,3525
l10n_br_base.city_2911402,3527
l10n_br_base.city_2911501,3529
l10n_br_base.city_2911600,3531
l10n_br_base.city_2911659,3095
l10n_br_base.city_2911709,3533
l10n_br_base.city_2911808,3535
l10n_br_base.city_2911857,3097
l10n_br_base.city_2911907,3537
l10n_br_base.city_2912004,3539
l10n_br_base.city_2912103,3541
l10n_br_base.city_2912202,3543
l10n_br_base.city_2912301,3545
l10n_br_base.city_2912400,3547
l10n_br_base.city_2912509,3551
l10n_br_base.city_2912608,3553
l10n_br_base.city_2912707,3555
l10n_br_base.city_2912806,3557
l10n_br_base.city_2912905,3559
l10n_br_base.city_2913002,3561
l10n_br_base.city_2913101,3563
l10n_br_base.city_2913200,3565
l10n_br_base.city_2913309,3567
l10n_br_base.city_2913408,3569
l10n_br_base.city_2913457,3277
l10n_br_base.city_2913507,3571
